key,registrationMoment,passengerEmail,description,type,key:assistanceAgent,key:leg,draftMode
claim-01,2021/05/10 10:00,test@test.com,test description,LUGGAGE_ISSUES,assistance-agent-01,leg-020,false
claim-02,2021/05/10 10:00,test2@test.com,test description 2,FLIGHT_ISSUES,assistance-agent-01,leg-020,false
claim-03,2021/05/10 10:00,acme@lorem-ipsum.org,test description 3,OTHER_ISSUES,assistance-agent-02,leg-020,true
claim-04,2022/07/30 0:00,acmepassword@lorem-ipsum.org,test description,OTHER_ISSUES,assistance-agent-03,leg-020,true
claim-05,2022/07/29 23:59,a@b.e,test description,OTHER_ISSUES,assistance-agent-04,leg-020,true
claim-06,2000/01/01 0:00,a@b.es,test description,OTHER_ISSUES,assistance-agent-05,leg-020,true
claim-07,2000/01/01 0:01,a@b.esx,test description,OTHER_ISSUES,assistance-agent-06,leg-020,true
claim-08,2021/05/10 10:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.doloris.edu,test description,OTHER_ISSUES,assistance-agent-07,leg-020,true
claim-09,2021/05/10 10:00,lorem-ipsum@dolor.sit.amet.consectetur.adipiscing.elit.sed.do.eiusmod.tempor.incididunt.ut.labore.et.dolore.magna.aliqua.Ut.enim.ad.minim.veniam.quis.nostrud.exercitation.ullamco.laboris.nisi.ut.aliquip.ex.ea.commodo.consequat.duis.aute.irure.dolor.es.org,test description,OTHER_ISSUES,assistance-agent-08,leg-020,true
claim-10,2021/05/10 10:00,test3@test.com,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*",OTHER_ISSUES,assistance-agent-09,leg-020,true
claim-11,2021/05/10 10:00,test3@test.com,L,OTHER_ISSUES,assistance-agent-10,leg-020,true
claim-12,2021/05/10 10:00,test3@test.com,Lo,OTHER_ISSUES,assistance-agent-11,leg-020,true
claim-13,2021/05/10 10:00,test3@test.com,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor",OTHER_ISSUES,assistance-agent-12,leg-020,true
claim-14,2021/05/10 10:00,test3@test.com,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut enim ad minim veniam? Quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor*",OTHER_ISSUES,assistance-agent-13,leg-020,true
claim-15,2021/05/10 10:00,test3@test.com,โลเร็ม อิปซัม,OTHER_ISSUES,assistance-agent-14,leg-020,true
claim-16,2021/05/10 10:00,test3@test.com,لوريم إيبسوم,OTHER_ISSUES,assistance-agent-01,leg-020,false
claim-17,2021/05/10 10:00,test3@test.com,洛伦·伊普森,OTHER_ISSUES,assistance-agent-01,leg-020,false
claim-18,2021/05/10 10:00,test3@test.com,<marquee>Hacked</marquee>,OTHER_ISSUES,assistance-agent-17,leg-020,false
